NEIGHBOURID,NEIGHBOURNAME
2,TORREFIEL
3,MORVEDRE
4,TRINITAT
5,CAMPANAR
6,EL CARME
7,LA VEGA BAIXA
8,LA XEREA
9,L'ILLA PERDUDA
10,TRES FORQUES
11,PATRAIX
12,RUSSAFA
13,LA CREU DEL GRAU
17,SANT PAU
18,LA SEU
19,AIORA
20,NATZARET
21,LA CREU COBERTA
22,L'AMISTAT
23,EL GRAU
25,LA CARRASCA
26,BENIFERRI
28,L'HORT DE SENABRE
29,CIUTAT JARDI
30,CAMI DE VERA
33,VARA DE QUART
34,SOTERNES
35,LA FONTSANTA
36,EL BOTANIC
38,FAVARA
39,CAMI REAL
40,LA FONTETA S.LLUIS
41,LA PUNTA
43,SANT LLORENS
44,CIUTAT FALLERA
45,NOU MOLES
46,LA LLUM
47,LA MALVA-ROSA
48,EL CALVARI
49,LES TENDETES
50,CIUTAT UNIVERSITARIA
51,EL MERCAT
52,LA ROQUETA
53,LA GRAN VIA
54,CAMI FONDO
55,LA RAIOSA
56,SAFRANAR
57,SANT ISIDRE
58,MALILLA
59,BENICALAP
60,JAUME ROIG
61,LA PETXINA
62,SANT MARCEL.LI
67,MONTOLIVET
68,CIUTAT DE LES ARTS I DE LES CIENCIES
69,NA ROVELLA
71,TORMOS
72,SANT ANTONI
73,BENIMACLET
74,MARXALENES
75,EXPOSICIO
76,BETERO
77,CABANYAL-CANYAMELAR
78,MESTALLA
79,EL PILAR
80,EL PLA DEL REMEI
81,ALBORS
82,ARRANCAPINS
83,EN CORTS
84,POBLE NOU
86,SANT FRANCESC
87,PENYA-ROJA
88,ELS ORRIOLS
