ID,HIDDENCHANNELS,LAYERS,DROPOUT,LR,EPOCHS
2,57,2,0.38117541209310823,0.008388177544505404,193
3,128,2,0.2139203040615451,0.005927796217812245,103
4,98,2,0.18937519506878897,0.002282550566146846,115
5,77,2,0.4243390727339008,0.00187001165717043,173
6,47,4,0.2534593356734475,0.000565622492294665,178
7,105,3,0.2954636619949512,0.00163838915378146,170
8,48,4,0.006167768556883143,0.0024318810616736426,118
9,64,4,0.08253203534036274,0.0013369715764622943,175
10,36,5,0.022880487427764884,0.0014861291907169115,173
11,127,3,0.179261429398853,0.00354252916608791,149
12,104,5,0.09927628349587113,0.004800979531385338,116
13,98,2,0.08688472101828548,0.0006228349042277266,140
17,97,3,0.20602184644572752,0.009951449188407457,156
18,92,3,0.0030156452127547417,0.0012161090863467745,117
19,81,2,0.08523508795603388,0.0007419960897493053,161
20,91,3,0.283214445540625,0.0003494193377408022,110
21,118,2,0.4915327031289669,0.009678430126089033,151
22,61,3,0.18969312216670414,0.0023956847786782897,198
23,118,2,0.23350542397043728,0.005264605204607779,147
25,27,5,0.04559843972149785,0.0006750017454001431,144
26,103,2,0.28081859832966455,0.0031978619818930944,76
28,80,2,0.4564780185097905,0.006186454644181147,178
29,32,3,0.18051656815912098,0.00973153787173049,137
30,8,4,0.3965149621535183,0.002500531803047788,169
33,106,5,0.03544163545481421,0.0001939866180816043,200
34,79,2,0.24828998787375894,0.00031301250650272067,186
35,67,4,0.1891101679030776,0.009745791338063529,102
36,69,2,0.24221210115219433,0.0017143889749665654,154
38,30,3,0.3903274049229748,0.0045093989948573445,142
39,86,4,0.3541976911597017,0.002241528040040944,198
40,61,2,0.3866226821722616,0.0020935422506658226,103
41,124,3,0.20437986221876048,0.0028507619589936734,165
43,86,4,0.02109468822787458,0.0020508219824112617,166
44,12,3,0.12078971079806383,0.002114376373123614,140
45,116,2,0.45325199325272925,0.002430925954688582,181
46,63,3,0.06728046247557895,0.000343036306966687,101
47,80,3,0.060767404442207795,0.006925743391960144,86
48,115,2,0.07801449289338058,0.00018075709967769392,146
49,25,2,0.05993910727798735,0.004652115274815959,98
50,126,3,0.0064450394234244705,0.009633537288285345,198
51,33,2,0.16536198453539358,0.009709933153495082,113
52,86,4,0.18231455866619864,0.0002053237898381238,122
53,128,3,0.225608663687358,0.004149906673473453,150
54,68,2,0.32619237282602387,0.0012861553006203745,96
55,114,2,0.2365740144602709,0.0032207280402797626,196
56,107,2,0.3278692472399431,0.0016365403017038864,129
57,69,4,0.24997719533682522,0.002204472177591067,174
58,66,5,0.015193809298730765,0.009071146217273077,186
59,46,3,0.09468428265214845,0.00667014947201954,175
60,123,4,0.09755210827680605,0.0006874988679592081,163
61,97,2,0.061750755088712195,0.009422756376564732,113
62,27,3,0.4967594139512845,0.004651219741250982,140
67,68,2,0.19284579488481185,0.006129480218098997,188
68,9,4,0.09901222228576978,0.009066469769314123,199
69,99,4,0.17544876903043127,0.006838324944975887,195
71,53,2,0.4402457546942309,0.009538117986554495,196
72,128,2,0.14016438373889784,0.0023348475981121164,103
73,128,5,0.03435092751319905,0.00032838371228288433,198
74,81,4,0.2488733013295123,0.0004576113098371407,109
75,58,2,0.3466725816537647,0.005076326982209047,131
76,51,2,0.15191371380829072,0.002337104759338413,105
77,80,2,0.07894605441690039,0.006677598946742477,188
78,85,4,0.27730553471793457,0.0047712684281874555,196
79,115,2,0.2147884747370853,0.004725504824272354,183
80,98,5,0.2860059325677687,0.0010411262303006116,167
81,55,2,0.47719722756679217,0.00333268427399174,171
82,106,3,0.3302684046855443,0.00428094100432186,179
83,47,2,0.20210507205676465,0.008660025824855463,161
84,85,2,0.24977073651112516,0.002012859445427645,126
86,92,3,0.12971231762617838,0.009957621518662007,158
87,124,2,0.0685873269339018,0.0037025860953431495,144
88,128,3,0.023641420873257213,0.0041435711100400365,75
