NODEID,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,HASPARKINGSPACE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,FLOORCLEAN,CADMAXBUILDINGFLOOR,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE,ANTIQUITY,NEIGHBOURID
235,90000,0.1013513513513513,0.037037037037037,0.0833333333333333,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.2424242424242424,0.4444444444444444,0,0,1,0.4342633573727957,0.3281486169954848,0.7561673958055486,-0.385861198572103,39.4488263580817,0.126463700234192,21
5717,77000,0.0416666666666666,0.0246913580246913,0.0833333333333333,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5833333333333334,0.2727272727272727,0.3333333333333333,0,0,1,0.3139769780447617,0.1718096331761476,0.623178422666146,-0.383722706260787,39.4547330774862,0.1311475409836065,21
5738,123000,0.1182432432432432,0.0493827160493827,0.1666666666666666,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0.2121212121212121,0.4444444444444444,0,0,1,0.3113929542558102,0.1687357112764638,0.6213531958943178,-0.384039388219648,39.4549654264653,0.0983606557377049,21
5848,55000,0.072072072072072,0.037037037037037,0.0833333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4166666666666666,0.1515151515151515,0.1111111111111111,0,0,1,0.3654648699289043,0.1864477017865225,0.6844382225901405,-0.386469034260238,39.4527678797284,0.0936768149882903,21
5865,124000,0.0551801801801801,0.037037037037037,0.1666666666666666,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.1666666666666666,0.2424242424242424,0.3333333333333333,0,0,1,0.3677488467493774,0.2071733531269789,0.6855485801601476,-0.385888338498957,39.4524485200141,0.0023419203747072,21
5873,52000,0.072072072072072,0.037037037037037,0.0833333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4166666666666666,0.1818181818181818,0.1111111111111111,0,0,1,0.3701029311763875,0.1767324807304565,0.6906658795893731,-0.387086425145886,39.4527277082064,0.1241217798594847,21
5897,115000,0.0608108108108108,0.0246913580246913,0.0833333333333333,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.25,0.2424242424242424,0.3333333333333333,0,0,1,0.3696404252558474,0.2151189969625893,0.6871537330809211,-0.385719904747334,39.4522915813793,0.1030444964871194,21
5924,54000,0.072072072072072,0.037037037037037,0.0833333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4166666666666666,0.1515151515151515,0.1111111111111111,0,0,1,0.3653304801392812,0.1869011365506455,0.6842448642835902,-0.386445812733148,39.4527673575491,0.0936768149882903,21
5926,118000,0.0608108108108108,0.0246913580246913,0.0833333333333333,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.25,0.2424242424242424,0.3333333333333333,0,0,1,0.362736253004054,0.2143059948048077,0.6789917613302353,-0.385372750778264,39.4525630460592,0.1030444964871194,21
5932,89000,0.0664414414414414,0.0246913580246913,0.0833333333333333,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.4166666666666666,0.1818181818181818,0.2222222222222222,0,0,1,0.326003879670267,0.1956716240957024,0.6367327994725047,-0.384045832097119,39.4541727947083,0.1241217798594847,21
5933,78000,0.0484234234234234,0.0246913580246913,0.0833333333333333,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0833333333333333,0.1515151515151515,0.2222222222222222,0,0,1,0.3897671392408955,0.1894779572171057,0.7135035215045507,-0.388044231953535,39.4519744772747,0.126463700234192,21
5934,77000,0.0394144144144144,0.0246913580246913,0.0833333333333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.2424242424242424,0.4444444444444444,0,0,1,0.450971547567989,0.3631254277429376,0.7736340825816916,-0.385721739998644,39.4478953111475,0.126463700234192,21
5935,90000,0.0518018018018018,0.0246913580246913,0.0833333333333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4166666666666666,0.1818181818181818,0.2222222222222222,0,0,1,0.3244442233681894,0.1931417616306086,0.6353381966329612,-0.384134674734959,39.4542829002645,0.1358313817330211,21
5936,147000,0.0878378378378378,0.037037037037037,0.1666666666666666,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0.4999999999999999,0.2727272727272727,0.4444444444444444,0,0,1,0.448274464340651,0.328682125440506,0.7741815394568954,-0.387165743116372,39.4484322763622,0.0866510538641686,21
5937,55000,0.0518018018018018,0.0246913580246913,0.0833333333333333,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0833333333333333,0.1515151515151515,0.2222222222222222,0,0,1,0.3798750800397441,0.1728067828113767,0.7026751555457019,-0.387908940091507,39.4524849403949,0.1311475409836065,21
5938,127000,0.0799549549549549,0.0493827160493827,0.1666666666666666,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.3333333333333333,0.2121212121212121,0.3333333333333333,0,0,1,0.4115180174122176,0.2203932787120514,0.7379735475777167,-0.388696945641129,39.4509891629591,0.0843091334894613,21
5940,60000,0.0394144144144144,0.037037037037037,0.0833333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.0606060606060606,0.2222222222222222,0,0,1,0.315507579981399,0.1734628403077826,0.6237489143790245,-0.383369170150775,39.4545539508973,0.0351288056206089,21
5942,69000,0.081081081081081,0.037037037037037,0.0833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1515151515151515,0.4444444444444444,0,0,1,0.4444104761252677,0.3529821987197173,0.766341134043702,-0.385605124480856,39.4482170062657,0.1241217798594847,21
