NODEID,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,HASPARKINGSPACE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,FLOORCLEAN,CADMAXBUILDINGFLOOR,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE,ANTIQUITY,NEIGHBOURID
256,164000,0.0788288288288288,0.037037037037037,0.1666666666666666,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0.1666666666666666,0.2121212121212121,0.4444444444444444,0,0,1,0.3557065875706471,0.3231098719792671,0.6267422656761604,-0.375168456156225,39.4516753963308,0.0468384074941451,58
257,110000,0.0788288288288288,0.0246913580246913,0.0833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4999999999999999,0.2121212121212121,0.3333333333333333,0,0,1,0.3410218367450878,0.2432465541564924,0.6349018933426032,-0.379366652101746,39.4525178646967,0.1030444964871194,58
258,80000,0.0608108108108108,0.037037037037037,0.0833333333333333,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,0.2121212121212121,0.4444444444444444,0,0,1,0.4148426516817998,0.3818594639498144,0.7174013264717598,-0.380445844187369,39.4488395653271,0.1007025761124121,58
259,460000,0.143018018018018,0.0493827160493827,0.1666666666666666,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.2121212121212121,0.2222222222222222,1,0,0,0.4626109092328429,0.2964019107627785,0.7570128860588201,-0.378010794140133,39.4462261514766,0.0936768149882903,58
6319,110000,0.0664414414414414,0.0493827160493827,0.0833333333333333,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.4166666666666666,0.2727272727272727,0.4444444444444444,0,0,1,0.2983041718187048,0.2554109489978282,0.5588943662679658,-0.374242375520518,39.454672431187,0.1217798594847775,58
6366,83000,0.0686936936936936,0.037037037037037,0.0833333333333333,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.2121212121212121,0.4444444444444444,0,0,1,0.2873488015661289,0.2328237673094579,0.5507951786674807,-0.374675918938492,39.4551957275439,0.1124121779859484,58
6380,127000,0.0698198198198198,0.037037037037037,0.0833333333333333,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0.6666666666666666,0.2727272727272727,0.3333333333333333,0,0,1,0.3062154222033771,0.2668973987156265,0.5666921758988521,-0.374164376736708,39.4542742811844,0.1217798594847775,58
6442,138000,0.1002252252252252,0.0493827160493827,0.1666666666666666,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0.4999999999999999,0.2121212121212121,0.4444444444444444,0,0,1,0.4533022824563629,0.3533524795883513,0.7557158209643492,-0.379813249394605,39.446807328306,0.0866510538641686,58
6443,141000,0.0889639639639639,0.037037037037037,0.0833333333333333,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.4999999999999999,0.2121212121212121,0.4444444444444444,0,0,1,0.4457038886095534,0.3846225495392434,0.750988554397779,-0.380655495588574,39.4472767537658,0.0866510538641686,58
6444,151000,0.0641891891891891,0.0123456790123456,0.0833333333333333,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.1666666666666666,0.2121212121212121,0.0,1,0,0,0.4669528853197588,0.2466690190323031,0.7512551438455064,-0.376079430084211,39.4459843722749,0.0913348946135831,58
6445,123000,0.0788288288288288,0.0246913580246913,0.0833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4999999999999999,0.2121212121212121,0.3333333333333333,0,0,1,0.335713161563285,0.2319297602959186,0.6297955426223903,-0.379460679944889,39.4527992583095,0.1030444964871194,58
6446,142000,0.1182432432432432,0.0493827160493827,0.1666666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5833333333333334,0.2121212121212121,0.5555555555555556,0,0,1,0.2762745897078286,0.1910544466652567,0.5476945416467904,-0.375923940347969,39.4556923704389,0.0585480093676815,58
6447,123000,0.0867117117117117,0.0246913580246913,0.1666666666666666,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5833333333333334,0.2121212121212121,0.4444444444444444,0,0,1,0.4219609462026851,0.3859559133525788,0.7210315342703968,-0.379510026222621,39.4483860462775,0.0843091334894613,58
6448,130000,0.1024774774774774,0.037037037037037,0.1666666666666666,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4166666666666666,0.2121212121212121,0.4444444444444444,0,0,1,0.3321681474124472,0.2095830365839726,0.6349852620225768,-0.381477033913308,39.4532591098114,0.0960187353629976,58
6449,194000,0.0878378378378378,0.037037037037037,0.1666666666666666,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333333333333333,0.2121212121212121,0.4444444444444444,0,0,1,0.4258968506049957,0.2788587169803033,0.691810285694382,-0.373567771074172,39.4481978668863,0.0796252927400468,58
6450,194000,0.09009009009009,0.037037037037037,0.1666666666666666,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1666666666666666,0.2121212121212121,0.4444444444444444,0,0,1,0.4338679786620912,0.2645734360488519,0.7009200554447284,-0.373629775913513,39.4477848622513,0.0796252927400468,58
6451,280000,0.1058558558558558,0.0493827160493827,0.1666666666666666,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0.2121212121212121,0.0,1,0,0,0.4749502916997587,0.215668230236093,0.7544459391057803,-0.375106146052328,39.4456020430454,0.0913348946135831,58
6452,127000,0.0855855855855855,0.037037037037037,0.1666666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,0.2121212121212121,0.4444444444444444,0,0,1,0.4042029098086895,0.3569965491246373,0.7088594416104644,-0.381107892829763,39.449467085158,0.1124121779859484,58
6453,171000,0.1081081081081081,0.037037037037037,0.1666666666666666,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0.5833333333333334,0.2121212121212121,0.5555555555555556,0,0,1,0.3504704423216066,0.259803701205056,0.6458088521817357,-0.379581591673553,39.4520542520994,0.0562060889929742,58
6454,219000,0.0979729729729729,0.037037037037037,0.1666666666666666,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.2121212121212121,0.5555555555555556,0,0,1,0.4630884843173519,0.2054266277146045,0.6996103069008268,-0.369810227685367,39.4467705824341,0.0374707259953161,58
6455,98000,0.081081081081081,0.0493827160493827,0.1666666666666666,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0.1666666666666666,0.2121212121212121,0.0,0,0,1,0.49670385979615,0.2964003478522002,0.7996385304568274,-0.379316831483085,39.4445529373336,0.0889929742388758,58
6456,254000,0.0957207207207207,0.0493827160493827,0.1666666666666666,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.25,0.2121212121212121,0.0,1,0,0,0.4762096033075272,0.2382996201775155,0.7622550459276993,-0.376271487697247,39.4455112400214,0.0913348946135831,58
6457,119000,0.0855855855855855,0.037037037037037,0.1666666666666666,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.1666666666666666,0.2121212121212121,0.3333333333333333,0,0,1,0.4009549665313375,0.3226073193696863,0.6594712703489036,-0.372819728304315,39.4495503012087,0.0960187353629976,58
6458,162000,0.1069819819819819,0.0493827160493827,0.1666666666666666,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.3333333333333333,0.2121212121212121,0.3333333333333333,0,0,1,0.4012301809394176,0.3695652753654833,0.693872430245886,-0.378369249063634,39.449369309197,0.1475409836065573,58
